;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
44;25 000 км;Porsche 911 Targa VII (991) 4 GTS;8 700 000 ₽;2015;робот;тарга;полный;белый;3.8 л/430л.с./Бензин
45;15 500 км;Porsche 911  VII (991) Рестайлинг Carrera 4 GTS;8 500 000 ₽;2017;робот;купе;полный;красный;3.0 л/450л.с./Бензин
46;110 000 км;Porsche 911  V (996) Рестайлинг Turbo;7 000 000 ₽;2003;механика;купе;полный;синий;3.6 л/420л.с./Бензин
47;99 000 км;Porsche 911  V (996) Рестайлинг Turbo S;4 950 000 ₽;2004;механика;купе;полный;синий;3.6 л/450л.с./Бензин
48;3 400 км;Porsche 911  VIII (992) Turbo S;18 500 000 ₽;2020;робот;купе;полный;оранжевый;3.8 л/650л.с./Бензин
49;39 000 км;Porsche 911  VI (997) Рестайлинг Turbo;6 500 000 ₽;2012;робот;купе;полный;белый;3.8 л/500л.с./Бензин
50;80 000 км;Porsche 911  VI (997) Carrera S;3 477 216 ₽;2006;автомат;купе;задний;белый;3.8 л/355л.с./Бензин
51;137 000 км;Porsche 911  V (996) Рестайлинг Carrera 4S;2 799 000 ₽;2004;механика;кабриолет;полный;чёрный;3.6 л/320л.с./Бензин
52;119 000 км;Porsche 911  V (996) Рестайлинг Turbo;2 950 000 ₽;2002;автомат;купе;полный;чёрный;3.6 л/450л.с./Бензин
53;48 000 км;Porsche 911  VII (991) Рестайлинг Carrera 4S;6 100 000 ₽;2016;робот;купе;полный;голубой;3.0 л/420л.с./Бензин
54;19 000 км;Porsche 911  VII (991) Рестайлинг Turbo S;10 900 000 ₽;2016;робот;купе;полный;чёрный;3.8 л/580л.с./Бензин
55;44 000 км;Porsche 911  VI (997) Carrera S;3 500 000 ₽;2008;автомат;кабриолет;задний;красный;3.8 л/355л.с./Бензин
56;165 000 км;Porsche 911  V (996) Рестайлинг Turbo;3 770 000 ₽;2005;автомат;кабриолет;полный;чёрный;3.6 л/420л.с./Бензин
57;92 172 км;Porsche 911  V (996) Carrera 4;2 990 000 ₽;2000;автомат;купе;полный;серебристый;3.4 л/300л.с./Бензин
58;14 000 км;Porsche 911  VII (991) Рестайлинг Carrera S;6 750 000 ₽;2016;робот;купе;задний;жёлтый;3.0 л/420л.с./Бензин
59;52 000 км;Porsche 911  VI (997) Turbo;5 500 000 ₽;2009;автомат;купе;полный;чёрный;3.6 л/480л.с./Бензин
60;108 100 км;Porsche 911  V (996) Рестайлинг Turbo;3 500 000 ₽;2002;автомат;купе;полный;чёрный;3.6 л/450л.с./Бензин
61;176 000 км;Porsche 911  V (996) Рестайлинг Turbo S;3 800 000 ₽;2005;механика;купе;полный;чёрный;3.6 л/450л.с./Бензин
62;138 000 км;Porsche 911  V (996) Carrera 4;2 000 000 ₽;1999;автомат;кабриолет;полный;голубой;3.4 л/300л.с./Бензин
63;50 000 км;Porsche 911  V (996) Carrera;1 900 000 ₽;2000;автомат;купе;задний;жёлтый;3.4 л/300л.с./Бензин
64;48 500 км;Porsche 911  VI (997) Carrera 4S;3 100 000 ₽;2007;автомат;купе;полный;чёрный;3.8 л/355л.с./Бензин
65;70 000 км;Porsche 911  V (996) Рестайлинг Turbo;4 000 000 ₽;2004;автомат;купе;полный;чёрный;3.6 л/420л.с./Бензин
66;125 000 км;Porsche 911  V (996) Carrera;1 800 000 ₽;1998;автомат;купе;задний;белый;3.4 л/300л.с./Бензин
